sib	rel	size	reason	main_rel
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 05 Hum.wav	21904528	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 05 Hum.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 12 Glass Machine.wav	31164288	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 12 Glass Machine.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 15 Stranded.wav	28120112	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 15 Stranded.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 09 Certainty.wav	29810642	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 09 Certainty.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 01 Pin Points.wav	33691144	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 01 Pin Points.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 11 Reverent B.wav	25407836	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 11 Reverent B.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 13 Down There.wav	34291978	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 13 Down There.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 15 Stranded.wav	28121518	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 15 Stranded.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 05 Hum.wav	21911960	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 05 Hum.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 11 Reverent B.wav	23781458	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 11 Reverent B.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 14 Boiler Room.wav	32017566	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 14 Boiler Room.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 12 Glass Machine.wav	30340962	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 12 Glass Machine.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 16 Hollow.wav	29487782	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 16 Hollow.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 08 Standstill.wav	22850166	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 08 Standstill.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 02 Transcend.wav	33414430	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 02 Transcend.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 03 Weightless.wav	30061478	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 03 Weightless.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 17 Lower Deck.wav	33714434	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 17 Lower Deck.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 18 Sub Below.wav	23993440	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 18 Sub Below.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 06 Below The Surface.wav	30342040	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 06 Below The Surface.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 01 Pin Points.wav	33708686	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 01 Pin Points.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Silk/SL 10 Reverent A.wav	20149674	dup_main	02_中文音效合集/布斯的音效库/气氛音效/SL 10 Reverent A.wav
