zip,member,结论,zip参数,lib参数,pcm_zip,pcm_lib
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Fire_GasFlame3_CT.wav,PCM一致,zip 96000/2/3.65s,lib 96000/2/3.65s,57808c3b7a9e3bdc76abe9c85fc64a45,57808c3b7a9e3bdc76abe9c85fc64a45
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Nature_Earthquake_Landslip_mega_CT.wav,PCM一致,zip 96000/2/28.25s,lib 96000/2/28.25s,308f58304037d010080a9552834c164d,308f58304037d010080a9552834c164d
Rock The Speakerbox - Broken.zip,Rock The Speakerbox - Broken/Construction Kit/BROKEN - CK - DOOR Metal And Wood Shake.wav,PCM一致,zip 96000/2/5.62s,lib 96000/2/5.62s,151631e86597932febaedfe39fdf2153,151631e86597932febaedfe39fdf2153
Rock The Speakerbox - Broken.zip,Rock The Speakerbox - Broken/Construction Kit/BROKEN - CK - METAL Hollow Hit Rattle.wav,PCM一致,zip 96000/2/45.01s,lib 96000/2/45.01s,91b15748750f00b7814b67a155be0c6d,91b15748750f00b7814b67a155be0c6d
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Electricity/WC_Electricity_Static4_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Electricity/WC_Electricity_Welding23_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Electricity/WC_Electricity_Welding26_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Electricity/WC_Electricity_Welding2_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Electricity/WC_Electricity_Welding4_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Electricity/WC_Electricity_Welding5_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Liquid/WC_Liquid_Bubble_Water8_CT.wav,OK_Q检查,库内异名副本 1,,,
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Sand&Gravel&Pebble/WC_Sand&Gravel&Pebble_Pour_large_CT.wav,OK_Q检查,库内异名副本 2,,,
Rock The Speakerbox - Broken.zip,Rock The Speakerbox - Broken/LookAE.com/AudioJungle音乐合集AE模板常用配乐.url,OK_Q检查,库内异名副本 29,,,
