总文件: 162431

== 顶层构成（136 项）==
       2 个 /      0.07 GiB ｜ 音效/Natural Elements
       4 个 /      0.05 GiB ｜ 音效/[Tonsturm]01 Breaking Glass
      18 个 /      0.04 GiB ｜ 音效/Pro Sound Effect
       2 个 /      0.04 GiB ｜ 音效/19 Beeps,Bells,Buzzers,Rumbles,Tools
       5 个 /      0.03 GiB ｜ 音效/[Blastwave.FX]Collection
       8 个 /      0.03 GiB ｜ 音效/Sound Morph - Matter Mayhem
       2 个 /      0.03 GiB ｜ 音效/14 Crowds,Kids,Babies,Heartbeats
       3 个 /      0.02 GiB ｜ 音效/44.Scrapes & Scratches
       1 个 /      0.02 GiB ｜ 音效/49.Nature Ambiences
       2 个 /      0.02 GiB ｜ 音效/43.SciFi,Eerie,Horror
       2 个 /      0.01 GiB ｜ 音效/50.Designed Sounds
       6 个 /      0.01 GiB ｜ 音效/[WHO05]
       3 个 /      0.01 GiB ｜ 音效/33.Doors
       1 个 /      0.01 GiB ｜ 音效/37.Crowd,Sports Crowds,Int
       3 个 /      0.01 GiB ｜ 音效/31.Water
       1 个 /      0.00 GiB ｜ 音效/2 Birds & Animals
       4 个 /      0.00 GiB ｜ 音效/11 Crashes,Impacts & Swishes
       2 个 /      0.00 GiB ｜ 音效/Explosions - 5.1 Surround
       3 个 /      0.00 GiB ｜ 音效/Hits & Tones
       1 个 /      0.00 GiB ｜ 音效/7 Cars
       3 个 /      0.00 GiB ｜ 音效/[WHO03]
       1 个 /      0.00 GiB ｜ 音效/32.Household
       1 个 /      0.00 GiB ｜ 音效/4 Water
       1 个 /      0.00 GiB ｜ 音效/[WHOBonus]
       1 个 /      0.00 GiB ｜ 音效/39.Human;Body Sounds
       1 个 /      0.00 GiB ｜ 音效/18 Doors,Squeaks,Creaks
       1 个 /      0.00 GiB ｜ 音效/40.Pistol,Machine Gun,Bullet,Grenade
       1 个 /      0.00 GiB ｜ 音效/Sound Design - Sci-Fi
       1 个 /      0.00 GiB ｜ 音效/Period Combat
       1 个 /      0.00 GiB ｜ 音效/声音素材 免费下载 - 爱给网.html

== 同名文件夹（≥2处 & >100MiB）TOP25 ==
  [ 24.14 GiB / 2处] ltt_v30all
         1758个   23.99GiB ← LTT_V30All
           28个    0.15GiB ← 音效/LTT_V30All
  [  3.34 GiB / 4处] designed
          178个    2.90GiB ← Rock The Speakerbox - Broken/Designed
           23个    0.25GiB ← A Sound Effect - Rocks Momentum/A Sound Effect - Glacier Ice/Designed
            6个    0.19GiB ← A Sound Effect - Rocks Momentum/A Sound Effect - Rocks Momentum/Designed
            1个    0.00GiB ← 音效/音效/BD音效库/极品音效库/未来科幻科技感/未来科幻科技感/1/Designed
  [  3.03 GiB / 5处] sounds
          105个    0.90GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Abyss Deep Atmospheric Sounds and
          124个    0.83GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Exoplanet Alien Soundscapes and S
           97个    0.78GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Deadspace Sci Fi Ambiences Drones
           98个    0.52GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Deadspace Sci Fi Ambiences Drones
  [  1.88 GiB / 4处] cd2
           99个    0.70GiB ← [Hollywood.Edge]The Eerie Edition Sound FX_可怕的/CD2
           19个    0.61GiB ← [Sound.Ideas]Thunder Sound Effects/CD2/CD2
          249个    0.52GiB ← [Sound.Ideas]The Underwater Sound Effects Series/CD2
           52个    0.06GiB ← 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/高品质汽车音效/CD2
  [  1.77 GiB / 4处] cd1
           93个    0.59GiB ← [Sound.Ideas]Thunder Sound Effects/CD1/CD1
          100个    0.58GiB ← [Hollywood.Edge]The Eerie Edition Sound FX_可怕的/CD1
           97个    0.54GiB ← [Sound.Ideas]The Underwater Sound Effects Series/CD1
           52个    0.06GiB ← 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/高品质汽车音效/CD1
  [  1.75 GiB / 2处] tonsturm_01_breaking_glass_ms_192khz
           99个    1.74GiB ← [Tonsturm]01 Breaking Glass/TONSTURM_01_Breaking_Glass_MS_192kHz
            1个    0.01GiB ← 音效/[Tonsturm]01 Breaking Glass/TONSTURM_01_Breaking_Glass_MS_192kHz
  [  1.73 GiB / 2处] tonsturm_01_breaking_glass_decoded_ms_to_lr_192khz
           97个    1.70GiB ← [Tonsturm]01 Breaking Glass/TONSTURM_01_Breaking_Glass_Decoded_MS_to_LR_192kHz
            2个    0.04GiB ← 音效/[Tonsturm]01 Breaking Glass/TONSTURM_01_Breaking_Glass_Decoded_MS_to_LR_192kH
  [  1.58 GiB / 2处] [blastwave.fx]imaging elements 5.1 library stereo 
           94个    1.55GiB ← [Blastwave.FX]Collection/[Blastwave.FX]Imaging Elements 5.1 Library Stereo Mixdo
            2个    0.03GiB ← 音效/[Blastwave.FX]Collection/[Blastwave.FX]Imaging Elements 5.1 Library Stereo Mi
  [  1.54 GiB / 3处] sound-effects-and-textures
          203个    0.67GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Tripod Invasion/Tpod-wav/sound-ef
          253个    0.44GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Dark Cinematic Textures and Sound
          253个    0.44GiB ← Bluezone Corporation(76)/[Bluezone.Corporation]Dark Cinematic Textures and Sound
  [  1.31 GiB / 4处] 飞机
           57个    0.71GiB ← 飞机
           80个    0.50GiB ← 音效/音效/BD音效库/附赠音效库（转场+撞击+音效+环境音）/音效/音效/交通类/飞机
           41个    0.09GiB ← Wind/百万剪辑狮的音效库/载具音效/飞机
           26个    0.00GiB ← 音效/音效素材1/飞机
  [  1.23 GiB / 2处] noise
          194个    1.22GiB ← [Blastwave.FX]Collection/[Blastwave.FX]Buzzsaw 2/Buzzsaw2/Noise
           31个    0.00GiB ← 音效/音效/BD音效库/极品音效库/Designer Sound FX/Designer Sound FX/Noise/Noise
  [  1.18 GiB / 2处] 08. debris - stone
          291个    1.17GiB ← Sound Morph - Matter Mayhem/08. Debris - Stone
